level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	643	495	-1	
2	1	1	0	0	0	54	53	512	196	-1	
3	1	1	1	0	0	57	53	75	17	-1	
4	1	1	1	1	0	57	53	75	17	-1	
5	1	1	1	1	1	57	53	57	17	94.673828	NOTE
5	1	1	1	1	2	122	53	10	17	94.673828	3
3	1	1	2	0	0	56	95	415	27	-1	
4	1	1	2	1	0	56	95	415	27	-1	
5	1	1	2	1	1	56	96	76	21	96.854164	Unlike
5	1	1	2	1	2	141	96	38	21	97.013672	the
5	1	1	2	1	3	189	96	102	21	96.542465	situation
5	1	1	2	1	4	301	95	24	22	96.664261	of
5	1	1	2	1	5	334	96	107	26	96.393860	Example
5	1	1	2	1	6	452	96	19	24	96.784256	1,
3	1	1	3	0	0	54	140	512	109	-1	
4	1	1	3	1	0	55	140	511	26	-1	
5	1	1	3	1	1	55	140	37	20	96.981537	the
5	1	1	3	1	2	103	145	75	21	96.284340	power
5	1	1	3	1	3	187	140	74	20	95.772629	series
5	1	1	3	1	4	270	140	46	20	95.772629	that
5	1	1	3	1	5	325	140	59	20	96.825256	arise
5	1	1	3	1	6	394	140	19	20	96.825256	in
5	1	1	3	1	7	423	140	38	20	96.944771	the
5	1	1	3	1	8	471	140	95	20	96.486877	solution
4	1	1	3	2	0	55	183	482	28	-1	
5	1	1	3	2	1	55	183	24	22	96.915070	of
5	1	1	3	2	2	87	184	107	26	95.836685	Example
5	1	1	3	2	3	204	184	14	21	95.836685	2
5	1	1	3	2	4	228	184	29	21	96.873169	do
5	1	1	3	2	5	268	185	37	20	96.761818	not
5	1	1	3	2	6	314	183	75	22	96.726288	define
5	1	1	3	2	7	399	184	138	27	96.755974	elementary
4	1	1	3	3	0	54	227	119	22	-1	
5	1	1	3	3	1	54	227	119	22	96.358200	functions.
